location,total_sqft,bath,bhk,floors,zipcode,price
Seattle,1180,1,3,1,98178,221900
Seattle,2570,2.25,3,2,98125,538000
Kenmore,770,1,2,1,98028,180000
Seattle,1960,3,4,1,98136,604000
Sammamish,1680,2,3,1,98074,510000
Redmond,5420,4.5,4,1,98053,1230000
Federal Way,1715,2.25,3,2,98003,257500
Seattle,1200,1.5,3,1,98198,291850
Seattle,1780,1,3,1,98146,229500
Maple Valley,1890,2.5,3,2,98038,323000
Bellevue,3560,2.5,3,1,98007,662500
Seattle,1160,1,2,1,98115,468000
Kenmore,1430,1,3,1.5,98028,310000
Sammamish,1370,1.75,3,1,98074,400000
Seattle,1810,2,5,1.5,98107,530000
Seattle,2950,3,4,2,98126,650000
Duvall,1890,2,3,2,98019,395000
Seattle,1600,1,4,1.5,98103,485000
Auburn,1200,1,2,1,98002,189000
Federal Way,1250,1,3,1,98003,230000
Seattle,1620,1.75,4,1,98133,385000
Mercer Island,3050,2.75,3,1,98040,2000000
Auburn,2270,2.5,5,2,98092,285000
Kent,1070,1.5,2,1,98030,252700
Kent,2450,2.25,3,2,98030,329000
Auburn,1710,2,3,1.5,98002,233000
Seattle,2450,1.75,3,2,98119,937000
Seattle,1400,1,3,1.5,98112,667000
Seattle,1520,1.75,3,1,98115,438000
Redmond,2570,2.5,4,2,98052,719000
Issaquah,2320,2.5,3,2,98027,580500
Seattle,1190,1.5,2,3,98133,280000
Seattle,2330,1.75,4,1.5,98117,687500
Seattle,1090,1,3,1.5,98117,535000
Renton,2060,2.75,4,1,98058,322500
Seattle,2300,2.5,3,1.5,98115,696000
Redmond,1660,1,4,1,98052,550000
Seattle,2360,2,4,2,98107,640000
Auburn,1220,1,4,1,98001,240000
Renton,2620,2.5,4,2,98056,605000
Sammamish,2570,2.5,4,2,98074,625000
Seattle,4220,2.25,4,1,98166,775000
Redmond,3595,2.75,5,2,98053,861990
Seattle,1570,1,3,2,98119,685000
Renton,1280,1,3,1,98058,309000
Duvall,3160,2.5,3,2,98019,488000
Federal Way,990,1,3,1,98023,210490
Bellevue,2290,2.5,4,2,98007,785000
Seattle,1250,1.75,3,1,98115,450000
Vashon,2753,2.5,3,1,98070,1350000
Seattle,1190,1,3,1,98148,228000
Renton,3150,2.5,5,1,98056,345000
Seattle,1410,1.75,3,1,98117,600000
Seattle,1980,1.75,2,1,98117,585000
Seattle,2730,2.25,5,1.5,98105,920000
Seattle,2830,2.5,4,2,98105,885000
Kent,2250,2.5,4,2,98042,292500
Kent,2420,2.5,3,2,98042,301000
Bellevue,3250,3.25,5,2,98008,951000
Renton,1850,3,4,2,98059,430000
Seattle,2150,2.25,3,1,98166,650000
Seattle,1260,1.75,3,1,98148,289000
Seattle,2519,1.75,3,2,98166,505000
Seattle,1540,1.75,3,3,98115,549000
Seattle,1660,2.25,3,1,98122,425000
Seattle,2770,2.75,3,1.5,98144,317625
Bellevue,2720,2.5,4,2,98004,975000
Auburn,2240,2.5,4,2,98001,287000
Kent,1000,1,3,1,98042,204000
Bellevue,3200,2.25,5,1,98004,1330000
Bellevue,4770,3.25,5,1,98005,1040000
Kirkland,1260,2,3,1,98034,325000
Seattle,2750,2,4,1.5,98125,571000
Maple Valley,2380,2.5,4,2,98038,360000
Kent,1790,1.75,3,1,98042,349000
Sammamish,3430,4,4,2,98075,832500
Bellevue,1760,1.75,4,1,98008,380000
Seattle,1040,1,3,1,98116,480000
Seattle,1410,1,3,1,98133,410000
Black Diamond,3450,2.5,4,2,98010,720000
Maple Valley,2350,2.5,3,2,98038,390000
Maple Valley,1900,2.5,4,2,98038,360000
Seattle,2020,1,2,1,98118,355000
Renton,1680,1.5,3,1,98059,356000
Seattle,960,1,3,1,98125,315000
Seattle,2140,1.5,3,2,98119,940000
Auburn,2660,2.25,5,1.5,98092,305000
Renton,2770,3.25,3,2,98056,461000
Renton,1610,2.25,2,2,98056,215000
Seattle,1030,1.75,2,2,98136,335000
Federal Way,1980,2.5,4,2,98023,243500
Seattle,3520,2.75,5,2,98199,1100000
Federal Way,1200,1,3,1,98023,153000
Seattle,1580,1.5,3,1,98117,430000
Seattle,1580,1.5,3,1,98117,700000
Mercer Island,3300,2.5,4,1,98040,905000
Kent,1960,1.75,3,1,98032,247500
Federal Way,1160,1.5,4,1,98023,199000
Maple Valley,1810,1.75,3,1,98038,314000
North Bend,2320,2.5,3,2,98045,437500
Seattle,2070,2.5,3,1.5,98102,850830
Seattle,1980,2,3,1.5,98117,555000
Woodinville,2190,2.25,3,2,98077,699950
Bellevue,2920,2.5,3,2,98004,1090000
Renton,1210,1,3,1,98058,290000
Renton,2340,2.5,3,1,98058,375000
Seattle,1670,1,3,1.5,98117,460000
Seattle,1240,1.75,2,1,98198,188500
Woodinville,3140,2.5,4,2,98077,680000
Redmond,2030,1.75,5,2,98052,470000
Issaquah,2310,2.5,4,2,98027,597750
Seattle,1260,1.75,3,1,98103,570000
Maple Valley,1540,1.75,3,1,98038,272500
Seattle,2080,1.75,3,1,98108,329950
Auburn,3230,2.5,4,2,98001,480000
Seattle,4380,3.5,3,2,98117,740500
Seattle,1590,3.5,3,3,98103,518500
Seattle,880,1,2,1,98178,205425
Seattle,1570,2,4,1,98168,171800
Seattle,1610,1,4,1.5,98144,535000
Seattle,2400,2.5,3,1,98177,660000
Kirkland,1450,2,3,1,98034,391500
Seattle,770,1,2,1,98117,395000
Seattle,2100,1.75,4,1.5,98118,445000
Redmond,2910,2.25,3,2,98052,770000
Bellevue,2750,2.75,4,1.5,98004,1450000
Seattle,2100,2.25,3,1,98178,445000
Federal Way,2160,2.25,4,1,98023,260000
Seattle,2320,3.5,5,2,98103,822500
Snoqualmie,2070,2.5,4,2,98065,430000
Auburn,1060,1.75,3,1,98092,212000
Issaquah,2010,2.25,4,1,98027,660500
Redmond,3950,3.5,3,1.5,98052,784000
Issaquah,2010,2.5,3,2,98029,453246
Seattle,2140,3.5,4,3,98107,675000
Federal Way,1320,1.75,3,1,98003,199000
Federal Way,2020,1.75,4,1,98003,220000
Kenmore,2590,2.25,4,1,98028,452000
Seattle,1190,1,2,1,98125,382500
Seattle,1170,2.25,3,3,98107,519950
Seattle,1110,1,2,1,98119,665000
Bellevue,2820,2.5,5,1,98006,527700
Renton,1610,1,3,1,98058,205000
Seattle,1060,1,3,1,98133,420000
Bellevue,2030,2.25,4,1,98006,500000
Woodinville,3670,2.5,4,2,98077,921500
Seattle,2550,1,4,2,98109,890000
Issaquah,2420,2.5,2,2,98027,430000
Kent,2260,2,5,1,98032,258000
Seattle,1430,1,3,1,98103,511000
Seattle,1360,2,3,2,98103,532170
Seattle,1110,1,3,1.5,98107,560000
Federal Way,1250,1,3,1,98003,282950
Bellevue,5180,3.25,4,2,98006,2250000
Seattle,700,1,1,1,98115,350000
Renton,1180,1,3,1,98058,215000
Renton,3960,3.5,5,2,98056,650000
Federal Way,2640,2.75,4,1,98023,320000
Enumclaw,1270,2,3,1.5,98022,247000
Renton,1760,1.75,4,1,98059,320000
Seattle,2060,2.25,5,1,98146,255000
Kirkland,1780,1.75,3,1,98034,438000
Sammamish,3400,2.5,3,2,98075,900000
Kirkland,1910,2.75,3,1,98034,441000
Issaquah,2020,2,3,1,98027,420000
Kirkland,1580,1.75,3,1,98034,370000
Seattle,1340,1.75,2,1,98198,269950
Bellevue,2680,2.5,4,2,98006,807100
Kirkland,2680,2.5,3,1,98034,653000
Seattle,1370,2,3,1,98133,371500
Seattle,1560,1.75,3,1,98166,284000
Federal Way,2160,1.75,3,1,98023,272000
Seattle,1340,1.5,3,1.5,98133,313000
Kirkland,3880,2.5,4,2,98033,917500
Bellevue,2590,2.25,4,2,98006,673000
Seattle,1120,2.5,3,2,98122,425000
Seattle,1970,2.75,5,1,98144,399950
Seattle,1220,1,3,1,98122,385000
Enumclaw,1950,1.5,3,1,98022,269950
Seattle,1350,1,2,1,98177,330000
Kent,1670,2.5,3,2,98030,260000
Seattle,2380,3,4,1.5,98126,470000
Kirkland,2440,3,4,2,98034,589000
Maple Valley,1050,1.5,2,2,98038,163500
Redmond,3130,2.75,4,2,98052,835000
Kirkland,4090,3,5,1,98033,1100000
Federal Way,1490,1.75,4,1,98023,269000
Sammamish,1900,2.5,3,2,98074,560000
Seattle,1330,1,4,1.5,98103,615000
Redmond,2230,2.25,3,1,98052,585188
Kirkland,1650,1.75,3,1,98034,305000
Renton,1190,1,3,1,98058,166950
Mercer Island,2140,2.5,3,1,98040,799000
Seattle,2180,2.5,3,1,98133,400000
Seattle,1060,1,3,1,98155,230000
Federal Way,1690,2.5,3,2,98023,256883
Seattle,1970,2,4,1.5,98108,423000
Seattle,2150,2.5,3,2,98126,465000
Fall City,1910,2.5,3,2,98024,440000
Maple Valley,1350,1.75,3,1,98038,385000
Renton,860,1,3,1,98056,210000
Kent,1940,2.5,3,2,98042,297000
Seattle,1010,1,3,1,98107,470000
Federal Way,1300,1.5,3,1,98023,226500
Renton,910,1,3,1,98059,274250
Mercer Island,2480,1.75,4,1,98040,840000
Redmond,2440,2.5,3,2,98052,677900
Seattle,1010,1,3,1,98116,425000
Seattle,900,0.75,2,1,98166,180250
Seattle,2300,3,6,2,98133,464000
Maple Valley,1550,2.25,4,2,98038,320000
Seattle,1270,2.25,3,2,98105,625504
Sammamish,2240,2.5,4,1,98074,592500
Auburn,2714,2.5,3,2,98001,465000
Seattle,1720,2.75,4,2,98118,477000
Seattle,850,1,2,1,98168,280000
Mercer Island,3300,3,5,1,98040,1510000
Seattle,2250,2.5,3,2,98146,445838
Seattle,3900,2.25,2,1,98144,1070000
Seattle,1320,1.5,2,1,98177,467000
Sammamish,2760,2.5,4,2,98075,686000
Seattle,1750,2,3,1,98198,279950
Bothell,2330,2.25,4,2,98011,527000
Kent,2220,2.25,3,1,98030,325000
Maple Valley,2020,2.25,3,2,98038,328000
Seattle,1250,2.25,3,1,98146,390000
Redmond,1510,2,2,1,98053,479950
Federal Way,1720,2.25,4,1,98023,264950
Kent,1430,1,3,1,98031,235000
Redmond,1480,2.5,3,2,98053,516500
Seattle,1450,1.75,2,2,98166,655000
Renton,2280,2.75,4,1,98059,500000
Federal Way,2940,2.75,6,1,98023,315000
Fall City,1000,1,2,1,98024,213000
Seattle,2480,1.5,3,1.5,98108,475000
Kirkland,3760,4,5,2,98033,1030000
Black Diamond,2220,2,3,1,98010,416000
Seattle,1970,1,4,1.5,98122,410000
Woodinville,3830,3.5,3,2,98077,800000
Federal Way,4410,2.5,6,1,98003,472000
Federal Way,1430,1.75,3,1,98003,225000
Seattle,830,1,2,1,98126,210000
Seattle,1430,1,2,1.5,98115,455000
Auburn,1300,1,3,1,98002,225000
Seattle,1030,1,2,1,98103,480000
Federal Way,2740,2.5,3,2,98023,363000
Sammamish,3650,2.5,4,1,98074,2400000
Seattle,720,1.5,2,1,98106,181000
Auburn,2010,2,4,1,98002,250000
Seattle,1560,1.75,3,1,98103,481000
Kent,1810,2,3,1,98032,260000
Renton,3360,2.5,4,2,98058,455000
North Bend,1510,2.25,3,2,98045,415000
Seattle,1400,1,3,1,98118,349500
Kent,1730,2.5,3,2,98030,245000
Seattle,1420,2,2,1.5,98115,592500
Seattle,2360,1.75,4,1,98106,385000
Renton,1580,1.75,3,1,98059,315000
North Bend,1230,1,3,1,98045,255000
Redmond,2460,2.5,4,2,98052,693000
Seattle,1660,1,3,1.5,98112,780000
Seattle,1270,1.75,3,1,98198,237000
Sammamish,2100,2.25,3,2,98074,525000
Seattle,770,1,2,1,98144,425000
Vashon,760,0.75,1,1,98070,369900
Kent,1700,2.5,4,2,98031,290000
Seattle,1120,1,3,1,98106,285000
Seattle,1070,1,2,1,98115,415000
Federal Way,2070,2.5,3,1,98023,272500
Bellevue,5050,3.25,4,1.5,98004,2900000
Woodinville,5310,4.75,4,2,98077,1370000
Seattle,1040,1,2,1,98133,436000
Federal Way,1700,1,3,1,98003,210000
Seattle,1300,1,3,1,98178,236000
Seattle,1080,1.75,3,1,98199,331000
Kent,2653,2.5,3,2,98031,365000
Renton,2290,2,3,1,98058,450000
Kenmore,3820,2.75,4,2,98028,770000
Maple Valley,2210,2.5,4,1,98038,455000
Seattle,2390,1.75,3,1,98118,405000
Kent,2600,1.75,4,1,98031,304900
Seattle,860,1,2,1,98178,170000
Seattle,3830,3,5,2,98122,2050000
Redmond,3500,2.5,4,2,98053,780000
Kenmore,2420,3,3,1,98028,330000
Kent,2720,2.5,4,2,98030,370000
Woodinville,2500,2.25,5,1,98072,467000
Kirkland,1670,1.75,3,1,98034,405000
Bellevue,2900,2.25,5,1,98006,675000
Bellevue,1640,1,2,1,98006,500000
Seattle,1890,2.5,4,2,98166,389999
Kirkland,2950,1.75,4,1,98034,630000
Auburn,2160,2.5,4,2,98001,360000
Renton,3280,3,4,2,98056,580000
Seattle,1970,2,3,2,98126,550000
Sammamish,3360,2.5,4,2,98075,879000
Kent,1320,2,3,1,98042,265000
Renton,2650,2.5,3,2,98059,446500
Seattle,2030,1.5,3,1,98108,404000
Seattle,1590,1.75,3,1,98188,267500
Sammamish,4550,5,4,1,98074,3080000
Federal Way,2440,2.5,3,2,98003,335000
Seattle,1940,2.5,3,1,98117,576000
