location,total_sqft,bath,bhk,price,price_per_sqft
Seattle,1180,1.0,3,221900,188.05084745762713
Seattle,2570,2.25,3,538000,209.3385214007782
Kenmore,770,1.0,2,180000,233.76623376623377
Seattle,1960,3.0,4,604000,308.16326530612247
Sammamish,1680,2.0,3,510000,303.57142857142856
Redmond,5420,4.5,4,1230000,226.93726937269372
Federal Way,1715,2.25,3,257500,150.14577259475217
Seattle,1200,1.5,3,291850,243.20833333333334
Seattle,1780,1.0,3,229500,128.93258426966293
Maple Valley,1890,2.5,3,323000,170.8994708994709
Bellevue,3560,2.5,3,662500,186.09550561797752
Seattle,1160,1.0,2,468000,403.44827586206895
Kenmore,1430,1.0,3,310000,216.78321678321677
Sammamish,1370,1.75,3,400000,291.97080291970804
Seattle,1810,2.0,5,530000,292.81767955801104
Seattle,2950,3.0,4,650000,220.33898305084745
Duvall,1890,2.0,3,395000,208.994708994709
Seattle,1600,1.0,4,485000,303.125
Auburn,1200,1.0,2,189000,157.5
Federal Way,1250,1.0,3,230000,184.0
Seattle,1620,1.75,4,385000,237.65432098765433
Mercer Island,3050,2.75,3,2000000,655.7377049180328
Auburn,2270,2.5,5,285000,125.55066079295155
Kent,1070,1.5,2,252700,236.16822429906543
Kent,2450,2.25,3,329000,134.28571428571428
Auburn,1710,2.0,3,233000,136.25730994152048
Seattle,2450,1.75,3,937000,382.44897959183675
Seattle,1400,1.0,3,667000,476.42857142857144
Seattle,1520,1.75,3,438000,288.1578947368421
Redmond,2570,2.5,4,719000,279.76653696498056
Issaquah,2320,2.5,3,580500,250.2155172413793
Seattle,1190,1.5,2,280000,235.2941176470588
Seattle,2330,1.75,4,687500,295.06437768240346
Seattle,1090,1.0,3,535000,490.8256880733945
Renton,2060,2.75,4,322500,156.55339805825244
Seattle,2300,2.5,3,696000,302.60869565217394
Redmond,1660,1.0,4,550000,331.32530120481925
Seattle,2360,2.0,4,640000,271.1864406779661
Auburn,1220,1.0,4,240000,196.72131147540983
Renton,2620,2.5,4,605000,230.91603053435114
Sammamish,2570,2.5,4,625000,243.19066147859922
Seattle,4220,2.25,4,775000,183.64928909952607
Redmond,3595,2.75,5,861990,239.77468706536857
Seattle,1570,1.0,3,685000,436.30573248407643
Renton,1280,1.0,3,309000,241.40625
